#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   2.69888    -14.866151    -14.893899
   2.73076    -14.867662    -14.895657
   2.76263    -14.869667    -14.897874
   2.79451    -14.871716    -14.900085
   2.82638    -14.873584    -14.902073
   2.85826    -14.875134    -14.903711
   2.89013    -14.876288    -14.904924
   2.92201    -14.877000    -14.905670
   2.95388    -14.877243    -14.905924
   2.95388    -14.877044    -14.905729
   2.98575    -14.876801    -14.905475
   3.01763    -14.876090    -14.904730
   3.04950    -14.874938    -14.903518
   3.08137    -14.873389    -14.901881
   3.11324    -14.871525    -14.899896
   3.14512    -14.869480    -14.897689
   3.17699    -14.867485    -14.895480
   3.20886    -14.865992    -14.893739
   3.24074    -14.865848    -14.893475
   3.27261    -14.867947    -14.895873
   3.30448    -14.871968    -14.900406
   3.33635    -14.876759    -14.905617
   3.36823    -14.881506    -14.910159
   3.40010    -14.868108    -14.894924
   3.43197    -14.854758    -14.882168
   3.46385    -14.844219    -14.872100
   3.49572    -14.836612    -14.864834
   3.52759    -14.832033    -14.860472
   3.55947    -14.830685    -14.859230
   3.55947    -14.830685    -14.859230
   3.61325    -14.834899    -14.863169
   3.66703    -14.848487    -14.876147
   3.72081    -14.870394    -14.897059
   3.77459    -14.877247    -14.906096
   3.82837    -14.870336    -14.898322
   3.88215    -14.871168    -14.898990
   3.93593    -14.879126    -14.907376
   3.98971    -14.889293    -14.917803
   4.04349    -14.899798    -14.928462
   4.09727    -14.909506    -14.938269
   4.15105    -14.917335    -14.946168
   4.20483    -14.922125    -14.950999
   4.25861    -14.922792    -14.951669
   4.31239    -14.918677    -14.947508
   4.36617    -14.910115    -14.938864
   4.41995    -14.898807    -14.927487
   4.47373    -14.887544    -14.916198
   4.52751    -14.879294    -14.907956
   4.58129    -14.876270    -14.904940
 
# Band-Index    4
   4.58129    -14.783856    -14.812784
   4.52751    -14.783102    -14.811998
   4.47373    -14.780862    -14.809663
   4.41995    -14.777205    -14.805851
   4.36617    -14.772245    -14.800680
   4.31239    -14.766115    -14.794288
   4.25861    -14.759018    -14.786885
   4.20483    -14.759670    -14.787575
   4.15105    -14.772200    -14.800213
   4.09727    -14.786581    -14.814828
   4.04349    -14.801821    -14.830401
   3.98971    -14.817102    -14.846091
   3.93593    -14.831519    -14.861010
   3.88215    -14.843319    -14.873445
   3.82837    -14.847618    -14.877739
   3.77459    -14.843764    -14.873133
   3.72081    -14.838504    -14.867456
   3.66703    -14.834245    -14.862963
   3.61325    -14.831566    -14.860155
   3.55947    -14.830262    -14.858742
   3.55947    -14.830262    -14.858742
   3.52759    -14.830758    -14.859288
   3.49572    -14.831685    -14.860269
   3.46385    -14.833136    -14.861792
   3.43197    -14.835053    -14.863812
   3.40010    -14.837317    -14.866217
   3.36823    -14.839773    -14.868864
   3.33635    -14.842169    -14.871526
   3.30448    -14.844070    -14.873798
   3.27261    -14.844642    -14.874821
   3.24074    -14.842708    -14.873113
   3.20886    -14.837943    -14.868143
   3.17699    -14.831236    -14.861093
   3.14512    -14.823460    -14.853001
   3.11324    -14.815122    -14.844395
   3.08137    -14.806546    -14.835602
   3.04950    -14.798038    -14.826935
   3.01763    -14.790034    -14.818865
   2.98575    -14.783496    -14.812394
   2.95388    -14.780669    -14.809665
   2.95388    -14.780600    -14.809594
   2.92201    -14.783431    -14.812328
   2.89013    -14.789976    -14.818806
   2.85826    -14.797986    -14.826883
   2.82638    -14.806500    -14.835555
   2.79451    -14.815082    -14.844354
   2.76263    -14.823427    -14.852966
   2.73076    -14.831214    -14.861069
   2.69888    -14.837941    -14.868137
   2.66701    -14.842746    -14.873150
   2.63513    -14.844730    -14.874914
   2.60326    -14.844195    -14.873927
   2.57139    -14.842313    -14.871672
   2.53951    -14.839926    -14.869017
   2.50764    -14.837474    -14.866374
   2.47576    -14.835212    -14.863970
   2.44389    -14.833297    -14.861952
   2.41201    -14.831850    -14.860432
   2.38014    -14.830937    -14.859467
   2.34826    -14.830262    -14.858742
   2.34826    -14.830262    -14.858742
   2.29400    -14.831566    -14.860155
