kpoint_index,kpoint_label,kpoint_distance,band_index,energy_eV,spin
4,,0.1241635312093748,29,-2.3011,-1
4,,0.1241635312093748,30,-2.2825,-1
4,,0.1241635312093748,31,-1.4436,-1
4,,0.1241635312093748,32,-1.44,-1
4,,0.1241635312093748,33,-1.3286,-1
4,,0.1241635312093748,34,-1.2973,-1
4,,0.1241635312093748,35,1.1724,-1
4,,0.1241635312093748,36,1.6722,-1
4,,0.1241635312093748,37,2.1126,-1
4,,0.1241635312093748,38,2.8095,-1
4,,0.1241635312093748,39,2.9455,-1
4,,0.1241635312093748,40,3.1865,-1
4,,0.1241635312093748,41,3.6233,-1
4,,0.1241635312093748,42,4.2016,-1
5,,0.1552044140117185,1,-19.8957,1
5,,0.1552044140117185,2,-19.0883,1
5,,0.1552044140117185,3,-19.0706,1
5,,0.1552044140117185,4,-19.0398,1
5,,0.1552044140117185,5,-18.8907,1
5,,0.1552044140117185,6,-18.8894,1
5,,0.1552044140117185,7,-9.6695,1
5,,0.1552044140117185,8,-9.1788,1
5,,0.1552044140117185,9,-8.7673,1
5,,0.1552044140117185,10,-8.7349,1
5,,0.1552044140117185,11,-8.7022,1
5,,0.1552044140117185,12,-8.6763,1
5,,0.1552044140117185,13,-8.4045,1
5,,0.1552044140117185,14,-8.3618,1
5,,0.1552044140117185,15,-8.3155,1
5,,0.1552044140117185,16,-7.5714,1
5,,0.1552044140117185,17,-7.4153,1
5,,0.1552044140117185,18,-7.4002,1
5,,0.1552044140117185,19,-6.7339,1
5,,0.1552044140117185,20,-6.5588,1
5,,0.1552044140117185,21,-6.4849,1
5,,0.1552044140117185,22,-6.3329,1
5,,0.1552044140117185,23,-6.2676,1
5,,0.1552044140117185,24,-6.1819,1
5,,0.1552044140117185,25,-5.4879,1
5,,0.1552044140117185,26,-5.2053,1
5,,0.1552044140117185,27,-5.175,1
5,,0.1552044140117185,28,-5.0242,1
5,,0.1552044140117185,29,-4.9122,1
5,,0.1552044140117185,30,-4.8895,1
5,,0.1552044140117185,31,-3.2311,1
5,,0.1552044140117185,32,-3.2222,1
5,,0.1552044140117185,33,-3.0053,1
5,,0.1552044140117185,34,-2.9504,1
5,,0.1552044140117185,35,1.095,1
5,,0.1552044140117185,36,1.6731,1
5,,0.1552044140117185,37,2.1212,1
5,,0.1552044140117185,38,2.7103,1
5,,0.1552044140117185,39,2.8281,1
5,,0.1552044140117185,40,2.9798,1
5,,0.1552044140117185,41,3.102,1
5,,0.1552044140117185,42,4.0187,1
5,,0.1552044140117185,1,-19.8886,-1
5,,0.1552044140117185,2,-19.1177,-1
5,,0.1552044140117185,3,-19.0974,-1
5,,0.1552044140117185,4,-19.0687,-1
5,,0.1552044140117185,5,-18.9153,-1
5,,0.1552044140117185,6,-18.9143,-1
5,,0.1552044140117185,7,-9.4356,-1
5,,0.1552044140117185,8,-8.9145,-1
5,,0.1552044140117185,9,-8.5684,-1
5,,0.1552044140117185,10,-8.4906,-1
5,,0.1552044140117185,11,-8.4718,-1
5,,0.1552044140117185,12,-8.4189,-1
5,,0.1552044140117185,13,-8.1295,-1
5,,0.1552044140117185,14,-7.9296,-1
5,,0.1552044140117185,15,-7.8849,-1
5,,0.1552044140117185,16,-7.2212,-1
5,,0.1552044140117185,17,-7.1292,-1
5,,0.1552044140117185,18,-7.0846,-1
5,,0.1552044140117185,19,-6.6492,-1
5,,0.1552044140117185,20,-6.4654,-1
5,,0.1552044140117185,21,-6.2809,-1
5,,0.1552044140117185,22,-6.2032,-1
5,,0.1552044140117185,23,-6.1779,-1
5,,0.1552044140117185,24,-6.0926,-1
5,,0.1552044140117185,25,-2.6263,-1
5,,0.1552044140117185,26,-2.5116,-1
5,,0.1552044140117185,27,-2.4853,-1
5,,0.1552044140117185,28,-2.4195,-1
5,,0.1552044140117185,29,-2.3048,-1
5,,0.1552044140117185,30,-2.2773,-1
5,,0.1552044140117185,31,-1.4433,-1
5,,0.1552044140117185,32,-1.4386,-1
5,,0.1552044140117185,33,-1.3467,-1
5,,0.1552044140117185,34,-1.3009,-1
5,,0.1552044140117185,35,1.2233,-1
5,,0.1552044140117185,36,1.7057,-1
5,,0.1552044140117185,37,2.1486,-1
5,,0.1552044140117185,38,2.8609,-1
5,,0.1552044140117185,39,2.9917,-1
5,,0.1552044140117185,40,3.2447,-1
5,,0.1552044140117185,41,3.603,-1
5,,0.1552044140117185,42,4.2196,-1
6,,0.1862452968140622,1,-19.8817,1
6,,0.1862452968140622,2,-19.0866,1
6,,0.1862452968140622,3,-19.084,1
6,,0.1862452968140622,4,-19.0422,1
6,,0.1862452968140622,5,-18.8929,1
6,,0.1862452968140622,6,-18.8914,1
6,,0.1862452968140622,7,-9.664,1
6,,0.1862452968140622,8,-9.174,1
6,,0.1862452968140622,9,-8.7723,1
6,,0.1862452968140622,10,-8.7444,1
6,,0.1862452968140622,11,-8.7074,1
6,,0.1862452968140622,12,-8.6462,1
6,,0.1862452968140622,13,-8.4204,1
6,,0.1862452968140622,14,-8.3556,1
6,,0.1862452968140622,15,-8.3084,1
6,,0.1862452968140622,16,-7.5744,1
6,,0.1862452968140622,17,-7.368,1
6,,0.1862452968140622,18,-7.3564,1
6,,0.1862452968140622,19,-6.7566,1
6,,0.1862452968140622,20,-6.579,1
6,,0.1862452968140622,21,-6.5261,1
6,,0.1862452968140622,22,-6.3978,1
6,,0.1862452968140622,23,-6.2436,1
6,,0.1862452968140622,24,-6.1916,1
6,,0.1862452968140622,25,-5.4716,1
6,,0.1862452968140622,26,-5.2147,1
6,,0.1862452968140622,27,-5.1751,1
6,,0.1862452968140622,28,-5.0146,1
6,,0.1862452968140622,29,-4.9055,1
6,,0.1862452968140622,30,-4.8717,1
6,,0.1862452968140622,31,-3.2304,1
6,,0.1862452968140622,32,-3.2186,1
6,,0.1862452968140622,33,-3.0294,1
6,,0.1862452968140622,34,-2.956,1
6,,0.1862452968140622,35,1.1607,1
6,,0.1862452968140622,36,1.7122,1
6,,0.1862452968140622,37,2.1657,1
6,,0.1862452968140622,38,2.7858,1
6,,0.1862452968140622,39,2.8785,1
6,,0.1862452968140622,40,2.9682,1
6,,0.1862452968140622,41,3.1543,1
6,,0.1862452968140622,42,3.9471,1
6,,0.1862452968140622,1,-19.8751,-1
6,,0.1862452968140622,2,-19.1132,-1
6,,0.1862452968140622,3,-19.1126,-1
6,,0.1862452968140622,4,-19.0713,-1
6,,0.1862452968140622,5,-18.9173,-1
6,,0.1862452968140622,6,-18.9163,-1
6,,0.1862452968140622,7,-9.4307,-1
6,,0.1862452968140622,8,-8.9112,-1
6,,0.1862452968140622,9,-8.5724,-1
6,,0.1862452968140622,10,-8.5125,-1
6,,0.1862452968140622,11,-8.4401,-1
6,,0.1862452968140622,12,-8.4222,-1
6,,0.1862452968140622,13,-8.0968,-1
6,,0.1862452968140622,14,-7.9455,-1
6,,0.1862452968140622,15,-7.8865,-1
6,,0.1862452968140622,16,-7.2089,-1
6,,0.1862452968140622,17,-7.1039,-1
6,,0.1862452968140622,18,-7.0628,-1
6,,0.1862452968140622,19,-6.6462,-1
6,,0.1862452968140622,20,-6.4761,-1
6,,0.1862452968140622,21,-6.3444,-1
6,,0.1862452968140622,22,-6.2245,-1
6,,0.1862452968140622,23,-6.1702,-1
6,,0.1862452968140622,24,-6.0985,-1
6,,0.1862452968140622,25,-2.6352,-1
6,,0.1862452968140622,26,-2.5043,-1
6,,0.1862452968140622,27,-2.4948,-1
6,,0.1862452968140622,28,-2.4012,-1
6,,0.1862452968140622,29,-2.3087,-1
6,,0.1862452968140622,30,-2.2715,-1
6,,0.1862452968140622,31,-1.4428,-1
6,,0.1862452968140622,32,-1.4367,-1
6,,0.1862452968140622,33,-1.3665,-1
6,,0.1862452968140622,34,-1.3053,-1
6,,0.1862452968140622,35,1.2839,-1
6,,0.1862452968140622,36,1.7456,-1
6,,0.1862452968140622,37,2.1924,-1
6,,0.1862452968140622,38,2.9184,-1
6,,0.1862452968140622,39,3.0477,-1
6,,0.1862452968140622,40,3.3173,-1
6,,0.1862452968140622,41,3.5756,-1
6,,0.1862452968140622,42,4.1526,-1
7,,0.21728617961640592,1,-19.8655,1
7,,0.21728617961640592,2,-19.1051,1
7,,0.21728617961640592,3,-19.0792,1
7,,0.21728617961640592,4,-19.0446,1
7,,0.21728617961640592,5,-18.8954,1
7,,0.21728617961640592,6,-18.8938,1
7,,0.21728617961640592,7,-9.6574,1
